id,created_at,enabled,price_range,average_ticket,takeout_time,delivery_time,minimum_order_value,merchant_zip_code,merchant_city,merchant_state,merchant_country
954999adcd4387700a00dddf66139f6e11304e69026b911ddeec53f482acf313,2017-01-20T13:15:26.966Z,false,3,60.0,0,35,12.0,11040,SANTOS,SP,BR
9e27d3498bf7d2eae863eb6b5022cf9a1dbd5e03f1ac8672a9b4850b9def8636,2017-01-20T13:15:32.675Z,false,2,40.0,0,60,30.0,20521,RIO DE JANEIRO,RJ,BR
fdc6f4d442527e79d4bb3db0fbc89ae202174be80cd7925a1441ee63576bbb57,2017-01-23T12:51:33.103Z,false,3,60.0,0,30,25.0,21931,RIO DE JANEIRO,RJ,BR
e8e328b63b62738980698482d27c8d28eebf37c7b22a0a4034eb02fe93758990,2017-01-20T13:15:08.695Z,true,1,30.0,20,0,10.0,31812,BELO HORIZONTE,MG,BR
3af349ff0f0caeb20a866d3edffabfa5c59e07d8cb8afa840a112ef7b63f54c0,2017-01-23T12:45:02.714Z,false,1,30.0,0,50,0.0,14091,RIBEIRAO PRETO,SP,BR
a77eb00a8d5e30efd4aeb9797578b6c61c02a2c8a2e7ea4cd485c5ccf9da9774,2017-01-20T13:14:26.476Z,true,3,60.0,0,0,35.0,14200,SAO PAULO,SP,BR
5f1455ffb28b5c8595549b5072899cfd8d9256c2d7899f710deed24b5ddb6cf3,2017-01-20T13:15:25.225Z,true,3,60.0,0,35,12.9,99110,DIADEMA,SP,BR
b19f8a2d93627326781d722c900f1dfe0438ce235164baf6d6ce50a81d8ad5c7,2017-01-23T12:36:58.032Z,false,4,80.0,0,30,10.0,15015,SAO JOSE DO RIO PRETO,SP,BR
d57616a5aec0282e239e955ee38f1ec6acffa835c4f291f85066ea9c8ff4d699,2017-01-20T13:15:36.326Z,false,1,30.0,0,45,10.0,21815,RIO DE JANEIRO,RJ,BR
1886e73be4f3bee17f32e8495291bde23f76433118892c06b2ccdbbd02d02736,2017-01-20T13:14:21.253Z,true,3,60.0,0,0,30.0,13150,SAO PAULO,SP,BR
